         16367159 function calls (16039132 primitive calls) in 18.579 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14808    0.096    0.000    0.306    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/astype.py:56(_astype_nansafe)
     1851    0.022    0.000    0.298    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/apply.py:1482(apply_standard)
      617    0.008    0.000    0.290    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/multi.py:474(from_arrays)
      621    0.004    0.000    0.290    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexing.py:1397(_getitem_axis)
      617    0.008    0.000    0.286    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:6186(_get_indexer_strict)
     5665    0.017    0.000    0.286    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:12675(_reindex_for_setitem)
     1851    0.039    0.000    0.281    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/ensemble/_gb.py:86(_init_raw_predictions)
      619    0.003    0.000    0.273    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexing.py:1205(_getbool_axis)
     3702    0.077    0.000    0.273    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:90(_assert_all_finite)
     9872    0.064    0.000    0.266    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:381(_num_samples)
    11106    0.011    0.000    0.266    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_array_api.py:441(isdtype)
    15036    0.031    0.000    0.263    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:2021(setitem_inplace)
      847    0.006    0.000    0.262    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:6662(copy)
    11106    0.016    0.000    0.254    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_array_api.py:225(isdtype)
      617    0.004    0.000    0.247    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/arrays/categorical.py:3048(factorize_from_iterables)
    25297    0.018    0.000    0.246    0.000 {method 'clip' of 'numpy.ndarray' objects}
     1851    0.009    0.000    0.245    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/preprocessing/_label.py:80(fit)
